company,title,product,story,quote,reasons
Zume ,"The $500 million robot pizza startup you never heard of has shut down, report says",Zume,"Softbank-backed Zume shut down in June 2023, after 8 years in business. The startup initially drew $446M to disrupt the pizza industry — the plan was to equip delivery trucks with robotic pizza-makers and smart ovens so that pizzas could be cooked to order while en route to customers. However, the startup ran into a number of technological issues, like cheese sliding off pizzas, and burned through cash faster than it could generate revenue. After pivoting to sustainable packaging development in 2020, it did not raise any additional funding and eventually closed its doors.","“Zume, the robot pizza delivery startup that raised close to $500 million, has shut down, The Information reported…
…Zume had struggled with problems like stopping melted cheese from sliding off its pizzas while they cooked in moving trucks, per Bloomberg. Its difficulties led to a string of high-profile departures and financial problems.”","['Failure reasons:', '', 'Technological issues with pizza-making', 'Cash burn faster than revenue', 'Lack of additional funding', 'Cheese sliding off pizzas', 'High-profile departures and financial problems']"
IRL,Unicorn social app IRL to shut down after admitting 95% of its users were fake,IRL,"IRL — an event discovery and planning app — closed at the end of June 2023. The company raised around $200M over multiple rounds and even hit unicorn status in 2021. After tripling its headcount, the startup laid off 25% of its workforce in 2022 — and the startup’s troubles only intensified. An SEC probe and internal investigation revealed that 95% of the app’s 20M active users were fake, leading the company to shut down for good.","“Last year, IRL laid off 25% of its team, or around 25 employees. During the year prior, IRL had more than tripled its head count, so these cuts came as a surprise.
Around the same time as these layoffs, IRL employees started doubting Shafi’s claim that the app had 20 million monthly active users; then the SEC began investigating whether IRL violated securities laws. By April, IRL’s board of directors suspended Shafi and appointed an acting CEO.”","['Failure reasons:', '', 'Fake user base', 'Layoffs and headcount growth', 'SEC probe and violation', 'Doubts about user numbers', 'Leadership and CEO issues']"
Vedere Bio II,"Vedere Bio II, unable to replicate past work that led to Novartis acquisition, closes up shop",Vedere Bio II,"Ocular gene therapeutics startup Vedere Bio II said goodbye in April 2023. The company raised $77M in its effort to slow down vision loss as well as restore eyesight for those affected by genetic and non-genetic conditions. While it experienced early success with mouse models, the preclinical data did not meet the desired efficacy criteria, leading to the decision to close down the company. ","“Opthamology-focused gene therapy biotech Vedere Bio II, the successor to a Novartis-bought biotech that was scooped up in 2020, is closing up shop after failing to impress in preclinical studies.
‘Based on the results of those studies, we made the difficult decision to discontinue our efforts,’ co-founder Cyrus Mozayeni, M.D., and Chairman Kevin Bitterman announced in a statement posted on the company’s website Friday.”","['Failure reasons summarized:', '', 'Ineffective preclinical data', 'Insufficient desired efficacy criteria', 'Discontinuation due to study results']"
Fuzzy ,San Francisco startup Fuzzy shuts down after raising $80 million,Fuzzy,"Pet healthcare company Fuzzy closed up shop in June 2023. The startup’s offering was broad, consisting of telehealth services, prescription delivery, an e-commerce marketplace, and educational content and programs. While the company raised a $44M Series C in November 2021, it reportedly ran up against financial mismanagement, leaving it unable to pay employees and vendors. News of the startup’s closure was confirmed by employees on Twitter.","“Fuzzy, a vet care startup founded in 2016, is no longer active. Its site and mobile apps have been taken down and the LinkedIn and Twitter profiles of its CEO and co-founder Zubin Bhettay no longer exist.
As one former employee wrote – via Glassdoor – the business model was not economically viable, and the company could not scale. Tweets suggest a daunting situation for former employees and vendors.”","['Failure reasons:', '', 'Financial mismanagement', 'Inability to pay employees', 'Inability to pay vendors', 'Non-economically viable business model', 'Inability to scale']"
Buzzer,"Buzzer, the Gen Z Sports App Backed by $44 Million, Shutters",Buzzer,"Mobile live sports streaming startup Buzzer shut down its consumer app at the end of June 2023. The company — backed by sports stars like Michael Jordan, Naomi Osaka, and Wayne Gretsky — enabled fans to stream short-form clips from sporting events for 99 cents. Driven by changing consumer demands and market constraints, the company decided to shut down its mobile app and move toward licensing its technology to other streamers instead. However, the shift was ultimately unsuccessful.","“Buzzer, the streaming startup backed by Michael Jordan, Kevin Durant, and other stars, announced Friday that it would shut down.
On May 19, Buzzer shut down its consumer app and announced it was becoming a technology provider for businesses to license its streaming product. The shift from B2C to B2B didn’t work. 
‘As of today and with a heavy heart, we are formally winding down our operations,’ Buzzer said. ‘Recent fundraising developments and market dynamics have informed this outcome, despite our very best efforts to continue building Buzzer.’”","['Failure reasons:', '', 'Changing consumer demands and market constraints.', 'Shift from B2C to B2B.', 'Unsuccessful fundraising developments and market dynamics.']"
Cana Technology,"Cana, The Startup Building a Make-Any-Drink Beverage Printer, Shuts Down",Cana One,"Molecular beverage printer startup Cana closed down operations in May 2023. The company’s product, the Cana One, was designed to produce beverages based on users’ specific preferences — such as low-sugar iced tea or low-alcohol mimosas. Cana One’s promise drew the eyes of investors and brand partners — Cana secured a $30M seed round in 2022 and landed Patrick Stewart as a brand ambassador earlier this year. However, Cana was reportedly unable to secure the funding it needed to manufacture and ship the devices.","“According to numerous Linkedin posts from previous employees, the company could not secure funding and laid off all of its employees last week. Cana, which had raised $30 million in January last year, promised to have the product ready to ship sometime this year. But despite having a working prototype and brand partners in place, Cana could not raise the funding necessary to build a production line for manufacturing and shipping devices.”","['Failure reasons:', '', 'Insufficient funding for manufacturing.', 'Inability to secure necessary funding.', 'Lack of funds for production.', 'Failed to raise required funding.', 'Funding shortfall for manufacturing.']"
Wyre ,Wyre Operations Update,Wyre,"Cryptocurrency infrastructure platform Wyre announced that it was winding down in June 2023. Founded in 2017, the startup raised $28M as the crypto space heated up. Its momentum culminated in April 2022, when payments company Bolt Financial agreed to acquire the startup for $1.5B to build digital checkout solutions. However, Bolt scrapped the deal the following September. Since then, the crypto market has seen a number of high-profile bankruptcies and a regulatory crackdown — though Wyre cited market conditions, rather than regulatory pressure, as driving its decision to close.","“After nearly a decade, Wyre is winding down. Due to market conditions, we made this decision to protect the best interest of our key stakeholders and customers. This decision is not due to any regulatory agency direction.
Wyre continues to secure customer assets. If you have assets on the Wyre platform, you can continue to withdraw them via Wyre’s dashboard until Friday, July 14th.”","['Failure reasons:', '', 'Market conditions', 'Failed acquisition deal', 'Regulatory crackdown (indirectly)', 'Bankruptcies in the crypto market']"
Summation Bio,RA Capital-backed gene therapy startup Summation Bio shuts down,Summation Bio,"Gene therapy biotech Summation Bio closed down at the beginning of June 2023. The company raised around $25M on its quest to develop non-viral gene therapies for a wide variety of diseases. Ultimately, research and development efforts revealed that the company’s therapies wouldn’t work as expected, leading it to close its doors.","“A Cleveland-based biotech senior program director at Summation, Chris Hanff, posted on LinkedIn last week that the startup was ‘over as quickly as it began,’ citing ‘circumstances insurmountable’ — that is, the science just didn’t pan out.
‘Despite all-out effort and error-free execution, the science, this time, was elusive,’ Hanff wrote. ‘Acceptance that we did all that we could means not anguishing about what could have been. Acceptance to stop looking at the past and instead look forward.’”","['Failure reasons:', '', ""Therapies didn't work as expected."", ""Science didn't pan out."", 'Circumstances insurmountable.', 'Elusive science.', 'Acceptance to stop looking back.']"
Seeker Biologics,5AM Ventures-backed biotech startup shuts down,Seeker Biologics,"Seeker Biologics — a 5AM Venture spinoff focused on biologics for autoimmune, allergic, and inflammatory diseases — shuttered operations in April 2023. The company, formerly known as Fleet Therapeutics, initially raised $24M at a $74M valuation in 2021. However, the company fell short of its drug discovery goals. While specific reasons beyond the decision were not disclosed, former employees shed some light on what happened behind the scenes.","“It can be challenging to witness a talented team dedicated to discovering new medicines fall short of their ambitious goals in a demanding market. However, science doesn’t always take us in the direction we expect, nor does it adhere to our timeline. Yet, it can lead us to exciting new discoveries, inspiring us to keep pursuing breakthroughs with renewed vigor.” ","['Failure reasons:', '', 'Missed drug discovery goals.', 'Challenging market for new medicines.', ""Science doesn't adhere to timeline."", 'Unexpected direction in research.', 'Inspiring pursuit of breakthroughs.']"
Tessera,Paradigm-Backed NFT Ownership Platform Tessera is Shutting Down,"Tessera, Escher","NFT trading platform Tessera said farewell in May 2023, after raising $22M from Paradigm and other investors. In a Tweet announcing the closure, Tessera co-founder Andy Chorlian identified the company’s structure and financial situation as factoring into the decision. He also stated that Tessera would also be shutting down Escher — a digital fine art marketplace project in its portfolio. Chorlian shared that the company simply didn’t have the time and resources to scale Escher to the point of profitability. ","“Tessera, a protocol that enables collective ownership and governance of non-fungible tokens (NFTs), is winding down its operations over the next few weeks, co-founder Andy Chorlian tweeted on Friday.
Chorlian, who co-founded the company alongside Nejc Krajnik in 2021, said that the decision was made after ‘carefully analyzing possible market scenarios, our company structure and our financial situation.’”","['Failure reasons:', '', 'Company structure and finances.', 'Insufficient time and resources.', 'Inability to scale Escher.', 'Market analysis and scenarios.', 'Financial situation and structure.']"
